id;title;type;icon;table_name;table_type;remarks;relation_graph
1;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;enhance Multi-channelled purple;Response;white SMTP;Checking Account global Steel;../fake-data/blob/hipster.txt
2;Borders Springs connecting;SAS;Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless;../fake-data/blob/hipster.txt
3;withdrawal Jamaica;International;Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;Business-focused Canyon Orchestrator;../fake-data/blob/hipster.txt
4;frictionless orchid;Future-proofed Awesome;Creek;Shirt Metal;Mouse Rupiah;Human Mission;../fake-data/blob/hipster.txt
5;Officer Savings Account Automated;Pants even-keeled Chair;Brazil;Island cyan;Granite open architecture;Ergonomic Soft Shoes;../fake-data/blob/hipster.txt
6;Bulgarian Lev Cambridgeshire;Regional;Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end;../fake-data/blob/hipster.txt
7;monitor Small Wooden Ball;feed;connecting generate Music;Inlet Hungary Configurable;interface;Toys;../fake-data/blob/hipster.txt
8;overriding;internet solution;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;Nevada quantify architectures;../fake-data/blob/hipster.txt
9;empower;customized payment;Grass-roots Cambridgeshire;Personal Loan Account;Music;Pants;../fake-data/blob/hipster.txt
10;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;../fake-data/blob/hipster.txt
