id;field_name;field_type;length;scale;allow_null;primary_key;remarks;stop;create_date;update_date;modify_date
1;Granite Corporate Lari;Sports Global Soft;57651;49809;false;false;reintermediate Buckinghamshire;true;2019-12-11T02:02:38;2019-12-11T04:26:25;2019-12-11T06:44:03
2;Concrete;system-worthy pixel Phased;63309;66503;false;false;Internal niches;false;2019-12-10T12:29:47;2019-12-10T18:32:39;2019-12-10T20:52:10
3;strategic;microchip Ergonomic Auto Loan Account;24534;6824;false;true;action-items;true;2019-12-10T13:44:28;2019-12-10T13:40:53;2019-12-10T23:52:02
4;West Virginia Keys;Factors Soft;48375;21494;false;false;clear-thinking Auto Loan Account;false;2019-12-10T10:41:04;2019-12-10T19:05:07;2019-12-10T08:04:22
5;Pants Auto Loan Account;Incredible Incredible;72818;41279;false;true;Investment Account Forge Licensed;false;2019-12-10T11:48:44;2019-12-11T06:56:31;2019-12-10T14:19:32
6;24 hour Colorado granular;solid state;96209;13681;true;true;Mount Computer Uzbekistan;true;2019-12-10T12:47:49;2019-12-10T13:25:30;2019-12-10T15:39:48
7;calculate feed invoice;Triple-buffered Borders magenta;98766;5159;true;true;Handcrafted Rubber Sausages;true;2019-12-11T02:39:51;2019-12-10T17:39:32;2019-12-10T17:22:03
8;Product Music;card azure Frozen;42176;94426;true;false;HTTP indexing interface;true;2019-12-10T15:31:45;2019-12-11T06:06:36;2019-12-10T15:23:39
9;one-to-one Connecticut;Unbranded Tugrik;33987;44103;true;false;Kansas;true;2019-12-10T18:03:02;2019-12-10T18:04:36;2019-12-10T12:01:15
10;policy Home Loan Account;e-commerce SSL web-readiness;46194;87009;true;false;CSS;true;2019-12-10T21:46:59;2019-12-10T08:27:39;2019-12-10T08:36:58
