id;name;field;reference_table;reference_field;remarks;stop;create_date;update_date;modify_date
1;Savings Account Customer Granite;Money Market Account;bus;Security Virginia;solid state Clothing deposit;true;2019-12-10T17:10:02;2019-12-10T22:00:42;2019-12-10T16:26:13
2;markets;Unbranded programming District;Concrete;Pizza yellow programming;FTP;true;2019-12-11T01:32:26;2019-12-10T16:48:27;2019-12-10T16:24:32
3;streamline navigate;neural;Money Market Account;synergize;JSON National;false;2019-12-10T22:40:17;2019-12-10T19:27:29;2019-12-10T13:17:54
4;Path Assimilated Unions;Devolved;Avon web-readiness;frame multi-byte modular;Electronics;true;2019-12-10T18:38:02;2019-12-11T02:43:31;2019-12-10T07:35:07
5;Curve Massachusetts SDD;Officer Bedfordshire;application scale;indigo National;Expressway;true;2019-12-11T06:07:15;2019-12-10T21:55:58;2019-12-10T19:40:07
6;New Jersey Gorgeous Soft Fish Mountain;Japan Knoll;Rhode Island Computer;user-centric;Mobility;false;2019-12-11T00:27:46;2019-12-11T00:30:01;2019-12-10T09:27:36
7;Indonesia auxiliary;Pizza bus withdrawal;Cyprus;Distributed;Avon Checking Account impactful;true;2019-12-11T02:42:47;2019-12-10T09:41:57;2019-12-10T15:19:56
8;Re-contextualized Licensed;Producer;SAS parsing;Branding Concrete;eco-centric Senior;false;2019-12-10T15:48:02;2019-12-11T04:56:45;2019-12-10T13:20:12
9;backing up;Salad;withdrawal circuit;generating frictionless solution-oriented;distributed Computers;true;2019-12-10T16:01:07;2019-12-10T22:42:49;2019-12-10T21:10:20
10;Guinea applications context-sensitive;Consultant back-end Fresh;Cambridgeshire Central;Table Avon Bedfordshire;Peru withdrawal Down-sized;false;2019-12-10T15:31:01;2019-12-10T10:57:36;2019-12-10T20:52:38
