id;text;jhi_group;link;external_link;target;icon;hide;description
1;Refined Squares;false;e-business;Ghana back-end National;Direct;Profit-focused;false;copying
2;ability Hat Iraq;false;Bahamian Dollar;24/7;Gloves sky blue Oklahoma;robust Engineer;true;Quality-focused
3;card Plastic;true;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;false;Bulgarian Lev navigate
4;Re-contextualized;true;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;true;Future-proofed deposit Sausages
5;disintermediate Cambridgeshire hacking;true;bandwidth azure;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;false;Customer Human deposit
6;even-keeled Saint Helena Pound;true;SCSI drive THX;Unbranded Cheese Dynamic;Alabama transform;invoice Home Gloves;true;Cayman Islands Dollar invoice
7;Fish;false;Bedfordshire;navigate;program alarm;Nevada;false;turn-key dedicated
8;Wisconsin;true;Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;sensor;false;Shoes deposit
9;Representative;false;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;compressing;false;Pants Maryland
10;calculating Intranet Ergonomic Concrete Soap;true;intuitive Open-architected system-worthy;program;Metal array France;redundant;true;HDD
